Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
18,0.05,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
229,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
282,0.025,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
438,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
578,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
657,0.05,0.1,0,0,1,0,0.073038541,0.342205781,0.1125,0.1125
1033,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
1068,0.075,0.0625,0,0,0,1,0.000344116,0.000232278,0.075,0.075
1112,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1123,0.025,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
1172,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
1227,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
1280,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1281,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
1432,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1570,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1652,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
1667,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1741,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1757,0.1,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
1792,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
1842,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1913,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
1964,0.05,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
2099,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
2189,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
2243,0.15,0.1375,0,0,0,1,0.000344116,0.000344116,0.15,0.15
2325,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
2373,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
2544,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
2610,0.05,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
2625,0.0125,0,0,0,0,1,0.000344116,0.000247333,0.0125,0.0125
2729,0.0125,0,0,0,1,0,0.13128011,0.342205781,0.0125,0.0125
2825,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
2844,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
2985,0.075,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
2994,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
3327,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
3398,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
3417,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
3671,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
3912,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
3933,0.05,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
3989,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
4049,0.0125,0,0,0,0,1,0.000344116,0.000249484,0.0125,0.0125
4062,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
4213,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
4270,0.0625,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
4331,0.05,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
4347,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
4368,0.0625,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
4387,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
4392,0.0875,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
4416,0.0125,0,0,0,0,1,0.000344116,0.000273142,0.0125,0.0125
4456,0.05,0.0375,0,0,0,1,0.000344116,0.000258087,0.05,0.05
4555,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
4738,0.0125,0,0,0,1,0,0.130247763,0.342205781,0.0125,0.0125
4745,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
4747,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
4762,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
4889,0.1625,0.15,0,0,0,1,0.000344116,0.000344116,0.1625,0.1625
4939,0.1625,0.1875,0,0,0,1,0.000344116,0.000344116,0.2,0.2
5055,0.05,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
5073,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5205,0.05,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
5216,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5235,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5262,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5272,0.0625,0.1125,0,0,0,1,0.000344116,0.000344116,0.125,0.125
5412,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5478,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5505,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5534,0.025,0.0125,0,0,0,1,0.000344116,0.000247333,0.025,0.025
5623,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5699,0.0625,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
5728,0.0375,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
5784,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5852,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
5949,0.0625,0.1125,0,0,0,1,0.000344116,0.000344116,0.125,0.125
5961,0.0875,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
6037,0.1,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
6114,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
6123,0.0125,0,0,0,0,1,0.000344116,0.000223675,0.0125,0.0125
6204,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
6339,0.0625,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
6411,0.0375,0.0625,0,0,0,1,0.000344116,0.000344116,0.075,0.075
6516,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
6554,0.0375,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
6555,0.0625,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
6621,0.1,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
6665,0.1625,0.15,0,0,0,1,0.000344116,0.000344116,0.1625,0.1625
6698,0.025,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
6700,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
6784,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
6809,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
6831,0.025,0.0125,0.5,0,0,1,0.019700619,0.136366569,0.025,0.025
6835,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
6938,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
6973,0.05,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
7000,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
7044,0.025,0.025,0,0,0,1,0.000344116,0.000212922,0.0375,0.0375
7051,0.025,0.0125,0,0,1,0,0.107966277,0.342205781,0.025,0.025
7160,0.0125,0,0,0,0,1,0.000344116,0.00023873,0.0125,0.0125
7243,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
7253,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
7257,0.075,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
7279,0.0125,0,0,0,0,1,0.000344116,0.000240881,0.0125,0.0125
7310,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
7312,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
7344,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
7416,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
7560,0.025,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
7616,0.05,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
7651,0.075,0.0625,0,0,1,0,0.091993577,0.342205781,0.075,0.075
7686,0.0625,0.05,0,0,0,1,0.000344116,0.000251635,0.0625,0.0625
7724,0.0125,0,0,0,1,0,0.137646249,0.342205781,0.0125,0.0125
7736,0.025,0.0125,0,0,0,1,0.000344116,0.00026884,0.025,0.025
7738,0.15,0.1375,0,0,0,1,0.000344116,0.000344116,0.15,0.15
7746,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
7814,0.075,0.0625,0,0,0,1,0.000344116,0.000344116,0.075,0.075
7822,0.0625,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
7860,0.0375,0.0625,0,0,0,1,0.000344116,0.000344116,0.075,0.075
7999,0.0625,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
8036,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
8164,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
8165,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
8176,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
8207,0.0625,0.05,0,0,0,1,0.000378527,0.000344116,0.0625,0.0625
8214,0.025,0.0125,0,0,0,1,0.000344116,0.000273142,0.025,0.025
8221,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
8255,0.0625,0.05,0,0,1,0,0.136958018,0.342205781,0.0625,0.0625
8299,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
8333,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
8414,0.0625,0.125,0,0,0,1,0.000344116,0.00023873,0.1375,0.1375
8422,0.0125,0,0,0,1,0,0.149518238,0.342205781,0.0125,0.0125
8558,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
8591,0.0125,0,0,0,1,0,0.122505162,0.342205781,0.0125,0.0125
8600,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
8613,0.0125,0,0,0,1,0,0.122505162,0.342205781,0.0125,0.0125
8621,0.05,0.0625,0,0,0.25,0.75,0.004559532,0.000243032,0.075,0.075
8737,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
8739,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
8745,0.025,0.275,0,0,1,0,0.066156228,0.342205781,0.2875,0.2875
8801,0.0125,0,0,0,0,1,0.000344116,0.000234429,0.0125,0.0125
8840,0.0625,0.0625,0,0,0,1,0.000344116,0.000344116,0.075,0.075
8874,0.0875,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
8901,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
8934,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
8942,0.05,0.0625,0,0,1,0,0.131839298,0.342205781,0.075,0.075
8943,0.0125,0,0,0,1,0,0.134205093,0.342205781,0.0125,0.0125
9026,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9076,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9084,0.025,0.0125,0,0,0,1,0.000344116,0.000230127,0.025,0.025
9113,0.05,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
9146,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
9157,0.0375,0.025,0,0,0,1,0.000344116,0.000270991,0.0375,0.0375
9196,0.05,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
9236,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9311,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9335,0.0875,0.075,0,0,0,1,0.000344116,0.000344116,0.0875,0.0875
9363,0.0625,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
9373,0.1,0.0875,0,0,0,1,0.000344116,0.000344116,0.1,0.1
9424,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9429,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
9448,0.05,0.075,0,0,1,0,0.11282691,0.342205781,0.0875,0.0875
9477,0.0375,0.025,0,0,0,1,0.000344116,0.000234429,0.0375,0.0375
9534,0.025,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
9592,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
9723,0.0375,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
9834,0.0625,0.0625,0,0,0,1,0.000344116,0.000344116,0.075,0.075
9843,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9860,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
9862,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9874,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
9875,0.0125,0,0,0,0,1,0.000344116,0.000172058,0.0125,0.0125
9882,0.1,0.1,0,0,0,1,0.000344116,0.000344116,0.1125,0.1125
10011,0.025,0.0125,0,0,1,0,0.07785616,0.342205781,0.025,0.025
10050,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
10064,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
10066,0.0375,0.05,0,0,0,1,0.000344116,0.000344116,0.0625,0.0625
10114,0.0125,0,0,0,1,0,0.035615967,0.342205781,0.0125,0.0125
10127,0.05,0.0625,0,0,0,1,0.000344116,0.000247333,0.075,0.075
10143,0.025,0.0125,0,0,0.5,0.5,0.116483138,0.013082846,0.025,0.025
10170,0.025,0.0125,0.5,0,0,1,0.051961459,0.248490193,0.025,0.025
10198,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
10246,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
10263,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
10319,0.05,0.0375,0,0,1,0,0.131538197,0.342205781,0.05,0.05
10324,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
10369,0.025,0.0625,0,0,1,0,0.132570544,0.342205781,0.075,0.075
10386,0.0375,0.0375,0,0,0,1,0.000344116,0.000344116,0.05,0.05
10402,0.0125,0,0,0,0,1,0.000344116,0.000344116,0.0125,0.0125
10427,0.15,0.1375,0,0,0,1,0.000344116,0.000344116,0.15,0.15
10445,0.025,0.0125,0,0,0,1,0.000344116,0.000344116,0.025,0.025
10486,0.0375,0.025,0,0,1,0,0.032863042,0.342205781,0.0375,0.0375
10659,0.025,0.025,0,0,0,1,0.000344116,0.000344116,0.0375,0.0375
10663,0.025,0.0375,0,0,1,0,0.096610461,0.342205781,0.05,0.05
10684,0.075,0.1,0,0,0,1,0.000344116,0.000344116,0.1125,0.1125
10710,0.0125,0,0,0,1,0,0.016345492,0.342205781,0.0125,0.0125
