Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
10,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
31,0.028368794,0.021276596,0,0,0,1,0.000208247,0.000208247,0.028368794,0.028368794
61,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000138093,0.014184397,0.014184397
62,0.014184397,0.007092199,0,0,1,0,0.126249479,0.329330125,0.014184397,0.014184397
68,0.007092199,0,0,0,1,0,0.272802999,0.329330125,0.007092199,0.007092199
69,0.14893617,0.163120567,0.428571429,0.19047619,0.047619048,0.952380952,0.199728288,0.214488792,0.01891253,0.078014184
70,0.09929078,0.092198582,0,0,0.214285714,0.785714286,0.045130005,0.000159508,0.09929078,0.09929078
77,0.028368794,0.021276596,0.5,0,0.25,0.75,0.217201166,0.330707359,0.014184397,0.021276596
78,0.092198582,0.092198582,0.461538462,0,0.230769231,0.769230769,0.109081152,0.010929252,0.014184397,0.035460993
79,0.035460993,0.042553191,0,0,1,0,0.128342357,0.329330125,0.04964539,0.04964539
80,0.070921986,0.092198582,0.2,0,0.7,0.3,0.262619742,0.333394626,0.026004728,0.042553191
83,0.09929078,0.127659574,0.142857143,0.142857143,0.5,0.5,0.228528292,0.204651726,0.042553191,0.070921986
84,0.007092199,0,0,0,1,0,0.295293628,0.329330125,0.007092199,0.007092199
86,0.042553191,0.141843972,0,0,1,0,0.167274052,0.329330125,0.14893617,0.14893617
88,0.113475177,0.106382979,0.3125,0.0625,0.4375,0.5625,0.168146085,0.330953267,0.01891253,0.042553191
89,0.063829787,0.290780142,0.222222222,0,0.333333333,0.666666667,0.21435513,0.155313537,0.14893617,0.262411348
91,0.106382979,0.106382979,0.333333333,0.133333333,0.066666667,0.933333333,0.242614189,0.344249293,0.028368794,0.042553191
101,0.021276596,0.021276596,0,0,0,1,0.000208247,0.000208247,0.028368794,0.028368794
115,0.028368794,0.021276596,0,0,0,1,0.000208247,0.000208247,0.028368794,0.028368794
130,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000137354,0.014184397,0.014184397
216,0.063829787,0.085106383,0,0,1,0,0.191343885,0.329330125,0.092198582,0.092198582
232,0.106382979,0.106382979,0.4,0.066666667,0.066666667,0.933333333,0.174135777,0.204083848,0.017730496,0.035460993
235,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
236,0.021276596,0.014184397,0,0,0,1,0.000208247,0.000208247,0.021276596,0.021276596
243,0.085106383,0.092198582,0.166666667,0.25,0.416666667,0.583333333,0.261401499,0.343027137,0.04964539,0.070921986
244,0.014184397,0.007092199,0,0,1,0,0.201218242,0.329330125,0.014184397,0.014184397
246,0.007092199,0,0,0,0,1,0.000208247,0.000104123,0.007092199,0.007092199
247,0.04964539,0.333333333,0.285714286,0,0.428571429,0.571428571,0.115918962,0.196406787,0.111111111,0.304964539
249,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
250,0.163120567,0.163120567,0.347826087,0,0.130434783,0.869565217,0.215281676,0.337229464,0.020390071,0.042553191
252,0.141843972,0.539007092,0.1,0,0,1,0.000208247,0.000203816,0.056737589,0.106382979
253,0.063829787,0.063829787,0.222222222,0.222222222,0.111111111,0.888888889,0.253679023,0.341291749,0.070921986,0.070921986
255,0.070921986,0.382978723,0,0,0.5,0.5,0.088713036,0.000208247,0.390070922,0.390070922
257,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
258,0.070921986,0.134751773,0.2,0,0.7,0.3,0.242451062,0.333394626,0.023640662,0.042553191
259,0.056737589,0.120567376,0.25,0,0.25,0.75,0.12928207,0.005118287,0.01891253,0.021276596
262,0.212765957,0.205673759,0.4,0.066666667,0.066666667,0.933333333,0.198049424,0.214454822,0.017730496,0.063829787
263,0.021276596,0.070921986,0,0,1,0,0.232194919,0.329330125,0.078014184,0.078014184
264,0.035460993,0.04964539,0,0,1,0,0.240066639,0.329330125,0.056737589,0.056737589
266,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
267,0.04964539,0.09929078,0,0,1,0,0.237936574,0.329330125,0.106382979,0.106382979
275,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
282,0.021276596,0.014184397,0,0,0,1,0.000208247,0.000135877,0.021276596,0.021276596
299,0.04964539,0.042553191,0.285714286,0,0,1,0.00031237,0.307940545,0.04964539,0.04964539
301,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
323,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
333,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
339,0.007092199,0,0,0,0,1,0.000208247,0.000144,0.007092199,0.007092199
387,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000208247,0.014184397,0.014184397
398,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000106339,0.014184397,0.014184397
403,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
405,0.014184397,0.007092199,0,0,1,0,0.117242815,0.329330125,0.014184397,0.014184397
410,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
414,0.007092199,0,0,0,1,0,0.308621408,0.329330125,0.007092199,0.007092199
416,0.120567376,0.113475177,0.411764706,0,0.411764706,0.588235294,0.072212558,0.201965936,0.015070922,0.035460993
418,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
420,0.042553191,0.09929078,0.166666667,0,0,1,0.000208247,0.000140308,0.021276596,0.028368794
421,0.021276596,0.056737589,0,0,0.666666667,0.333333333,0.146570873,0.000208247,0.063829787,0.063829787
422,0.028368794,0.113475177,0,0,1,0,0.239900042,0.329330125,0.120567376,0.120567376
423,0.035460993,0.028368794,0.6,0,0,1,0.206580591,0.331998192,0.017730496,0.021276596
424,0.113475177,0.113475177,0.4375,0.0625,0,1,0.148447262,0.210173214,0.017223911,0.028368794
425,0.056737589,0.04964539,0,0,0.375,0.625,0.072834236,0.000152862,0.056737589,0.056737589
426,0.120567376,0.141843972,0.176470588,0.058823529,0.529411765,0.470588235,0.218530269,0.337229464,0.037234043,0.056737589
427,0.063829787,0.056737589,0.333333333,0,0.222222222,0.777777778,0.200032394,0.332492962,0.021276596,0.035460993
428,0.092198582,0.106382979,0.307692308,0.153846154,0.307692308,0.692307692,0.181286643,0.329801265,0.019858156,0.035460993
429,0.070921986,0.09929078,0.3,0.2,0.4,0.6,0.249916701,0.337676973,0.017730496,0.028368794
430,0.106382979,0.09929078,0.266666667,0.066666667,0.333333333,0.666666667,0.24441205,0.34090701,0.026595745,0.035460993
431,0.078014184,0.134751773,0.545454545,0.090909091,0.181818182,0.818181818,0.201327099,0.334938752,0.015602837,0.035460993
432,0.070921986,0.134751773,0.4,0,0.3,0.7,0.188931695,0.330344035,0.023049645,0.035460993
433,0.070921986,0.106382979,0,0,1,0,0.231653478,0.329330125,0.113475177,0.113475177
434,0.035460993,0.028368794,0,0,0,1,0.000208247,0.000137354,0.035460993,0.035460993
435,0.028368794,0.021276596,0,0,1,0,0.112218867,0.329330125,0.028368794,0.028368794
436,0.070921986,0.063829787,0.3,0.2,0.3,0.7,0.23618284,0.33258084,0.023640662,0.042553191
448,0.007092199,0,0,0,1,0,0.00031237,0.329330125,0.007092199,0.007092199
450,0.028368794,0.021276596,0,0,0,1,0.000208247,0.000141046,0.028368794,0.028368794
475,0.028368794,0.021276596,0,0,0,1,0.000208247,0.000141046,0.028368794,0.028368794
493,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
507,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000208247,0.014184397,0.014184397
513,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
543,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000208247,0.014184397,0.014184397
586,0.092198582,0.085106383,0.230769231,0.076923077,0.153846154,0.846153846,0.200533432,0.334003858,0.030732861,0.042553191
587,0.078014184,0.070921986,0,0,0,1,0.000208247,0.000146954,0.078014184,0.078014184
589,0.170212766,0.184397163,0.333333333,0.125,0.166666667,0.833333333,0.157373664,0.217240305,0.02393617,0.106382979
591,0.014184397,0.106382979,0,0,0.5,0.5,0.000260308,0.000208247,0.113475177,0.113475177
593,0.028368794,0.042553191,0,0,1,0,0.260985006,0.329330125,0.04964539,0.04964539
594,0.113475177,0.14893617,0.125,0.25,0.5625,0.4375,0.189777697,0.200757072,0.040189125,0.042553191
595,0.19858156,0.24822695,0,0,0.285714286,0.714285714,0.039697001,0.000208247,0.255319149,0.255319149
596,0.063829787,0.056737589,0.444444444,0,0.111111111,0.888888889,0.184263501,0.330537512,0.015957447,0.021276596
597,0.205673759,0.212765957,0.206896552,0.103448276,0.172413793,0.827586207,0.199270419,0.217057904,0.031408308,0.078014184
598,0.056737589,0.106382979,0.25,0.125,0.5,0.5,0.208207518,0.193862043,0.01891253,0.028368794
600,0.163120567,0.156028369,0.304347826,0.043478261,0.217391304,0.782608696,0.152798653,0.144512038,0.020390071,0.056737589
601,0.120567376,0.113475177,0.588235294,0.058823529,0.117647059,0.882352941,0.184530955,0.33027905,0.012056738,0.021276596
602,0.134751773,0.134751773,0.210526316,0.210526316,0.421052632,0.578947368,0.209112431,0.214143929,0.035460993,0.042553191
603,0.042553191,0.056737589,0,0,1,0,0.221470221,0.329330125,0.063829787,0.063829787
604,0.120567376,0.19858156,0.235294118,0,0.588235294,0.411764706,0.190104613,0.016124339,0.041134752,0.120567376
605,0.205673759,0.19858156,0.24137931,0,0.068965517,0.931034483,0.172245042,0.218325845,0.029381966,0.113475177
606,0.021276596,0.021276596,0,0,1,0,0.093086214,0.329330125,0.028368794,0.028368794
607,0.127659574,0.156028369,0.222222222,0,0.166666667,0.833333333,0.251764311,0.344732987,0.031914894,0.078014184
609,0.021276596,0.014184397,0.666666667,0,0,1,0.16041927,0.329508834,0.021276596,0.021276596
610,0.007092199,0,0,0,0,1,0.000208247,0.000138093,0.007092199,0.007092199
611,0.092198582,0.09929078,0.307692308,0.153846154,0,1,0.28053215,0.347691269,0.033096927,0.042553191
612,0.014184397,0.014184397,0,0,0,1,0.000208247,0.000208247,0.021276596,0.021276596
614,0.021276596,0.014184397,0,0,1,0,0.113563793,0.329330125,0.021276596,0.021276596
616,0.007092199,0,0,0,1,0,0.280403998,0.329330125,0.007092199,0.007092199
632,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000208247,0.014184397,0.014184397
684,0.021276596,0.134751773,0,0,0.333333333,0.666666667,0.069311398,0.000208247,0.141843972,0.141843972
691,0.007092199,0,0,0,0,1,0.000208247,0.000142523,0.007092199,0.007092199
712,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
723,0.007092199,0,0,0,0,1,0.000208247,0.000208247,0.007092199,0.007092199
725,0.028368794,0.063829787,0,0,0.75,0.25,0.097537484,0.00014917,0.070921986,0.070921986
732,0.021276596,0.014184397,0,0,0,1,0.000208247,0.000141046,0.021276596,0.021276596
740,0.056737589,0.056737589,0,0,0,1,0.000208247,0.000143262,0.063829787,0.063829787
744,0.007092199,0,0,0,0,1,0.000208247,0.000147693,0.007092199,0.007092199
747,0.070921986,0.063829787,0,0,0,1,0.000208247,0.000208247,0.070921986,0.070921986
748,0.063829787,0.063829787,0,0,0,1,0.000208247,0.000208247,0.070921986,0.070921986
749,0.007092199,0,0,0,0,1,0.000208247,0.000141046,0.007092199,0.007092199
751,0.007092199,0,0,0,1,0,0.185235319,0.329330125,0.007092199,0.007092199
754,0.014184397,0.007092199,0,0,1,0,0.269783424,0.329330125,0.014184397,0.014184397
757,0.042553191,0.056737589,0.333333333,0,0.166666667,0.833333333,0.135637929,0.329144771,0.021276596,0.035460993
758,0.085106383,0.106382979,0.5,0.083333333,0.166666667,0.833333333,0.234876093,0.341868489,0.01891253,0.035460993
759,0.163120567,0.163120567,0.304347826,0.043478261,0.304347826,0.695652174,0.186896764,0.330716221,0.020390071,0.035460993
761,0.106382979,0.177304965,0,0,0.6,0.4,0.064237123,0.00019717,0.184397163,0.184397163
762,0.014184397,0.028368794,0,0,0.5,0.5,0.064035818,0.000148431,0.035460993,0.035460993
764,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000208247,0.014184397,0.014184397
765,0.09929078,0.092198582,0.428571429,0.071428571,0.285714286,0.714285714,0.143221574,0.20887795,0.014184397,0.021276596
766,0.014184397,0.007092199,0,0,1,0,0.237453145,0.329330125,0.014184397,0.014184397
767,0.113475177,0.19858156,0.125,0.125,0.375,0.625,0.196721418,0.019776777,0.042553191,0.063829787
768,0.078014184,0.113475177,0.181818182,0,0.545454545,0.454545455,0.235706713,0.336273155,0.037825059,0.042553191
769,0.014184397,0.007092199,0,0,1,0,0.199396085,0.329330125,0.014184397,0.014184397
772,0.085106383,0.085106383,0.333333333,0,0.416666667,0.583333333,0.182345898,0.141889018,0.018439716,0.028368794
773,0.19858156,0.191489362,0.25,0.035714286,0.035714286,0.964285714,0.21015797,0.226928939,0.028368794,0.106382979
774,0.127659574,0.134751773,0.388888889,0.111111111,0.222222222,0.777777778,0.144650377,0.208994627,0.020263425,0.028368794
776,0.028368794,0.021276596,0,0,1,0,0.083272595,0.329330125,0.028368794,0.028368794
777,0.106382979,0.106382979,0.266666667,0.066666667,0.266666667,0.733333333,0.231896432,0.216740365,0.028368794,0.04964539
778,0.177304965,0.170212766,0.32,0.08,0.12,0.88,0.187538526,0.221710221,0.022163121,0.04964539
779,0.070921986,0.567375887,0,0,0.4,0.6,0.087349021,0.00018757,0.574468085,0.574468085
781,0.156028369,0.14893617,0.181818182,0,0.545454545,0.454545455,0.155687971,0.193365058,0.031205674,0.070921986
782,0.028368794,0.021276596,0,0,0,1,0.000208247,0.000208247,0.028368794,0.028368794
783,0.056737589,0.056737589,0.25,0,0.625,0.375,0.214038421,0.329505141,0.031914894,0.042553191
784,0.120567376,0.120567376,0.411764706,0.117647059,0.176470588,0.823529412,0.235000122,0.342413474,0.017223911,0.04964539
786,0.035460993,0.028368794,0,0,1,0,0.036193253,0.329330125,0.035460993,0.035460993
801,0.021276596,0.014184397,0,0,0,1,0.000208247,0.000208247,0.021276596,0.021276596
856,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000208247,0.014184397,0.014184397
897,0.035460993,0.226950355,0,0,0.2,0.8,0.000208247,0.000146954,0.234042553,0.234042553
901,0.014184397,0.007092199,0,0,0,1,0.000208247,0.000142523,0.014184397,0.014184397
902,0.056737589,0.078014184,0,0,0,1,0.000208247,0.000208247,0.085106383,0.085106383
923,0.042553191,0.042553191,0.333333333,0.166666667,0.333333333,0.666666667,0.245904484,0.335615184,0.021276596,0.035460993
926,0.021276596,0.014184397,0,0,0,1,0.000208247,0.000208247,0.021276596,0.021276596
935,0.085106383,0.078014184,0.083333333,0.083333333,0.75,0.25,0.212663127,0.193619089,0.042553191,0.063829787
936,0.120567376,0.113475177,0.411764706,0.058823529,0.117647059,0.882352941,0.182080996,0.220582588,0.017223911,0.056737589
