Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
19,0.075,0.4875,0.166666667,0,0,1,0.000256476,0.000256476,0.0375,0.0375
50,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
54,0.075,0.0625,0.333333333,0.166666667,0.166666667,0.833333333,0.253334188,0.335525135,0.075,0.075
73,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
145,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
215,0.025,0.0125,0,0,1,0,0.162221082,0.325892857,0.025,0.025
237,0.025,0.25,0,0,0.5,0.5,0.000256476,0.000256476,0.2625,0.2625
261,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
274,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
285,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
316,0.05,0.0375,0,0,0,1,0.000288536,0.000256476,0.05,0.05
350,0.075,0.2,0,0,0,1,0.000256476,0.000189151,0.2125,0.2125
361,0.075,0.0625,0,0,0,1,0.000256476,0.000256476,0.075,0.075
411,0.0375,0.025,0,0,0,1,0.000256476,0.000256476,0.0375,0.0375
477,0.0375,0.025,0,0,0.666666667,0.333333333,0.011584167,0.001043537,0.0375,0.0375
572,0.05,0.0375,0,0,0,1,0.000256476,0.000160298,0.05,0.05
600,0.05,0.0375,0,0,1,0,0.255353937,0.325892857,0.05,0.05
607,0.0875,0.075,0.142857143,0,0,1,0.000311435,0.168414978,0.0875,0.0875
609,0.025,0.0625,0,0,0.5,0.5,0.056937676,0.000137856,0.075,0.075
613,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
620,0.0125,0,0,0,1,0,0.190818159,0.325892857,0.0125,0.0125
625,0.025,0.0125,0,0,0,1,0.000256476,0.000152283,0.025,0.025
638,0.0125,0,0,0,0,1,0.000256476,0.000155489,0.0125,0.0125
735,0.025,0.1375,0.5,0,0,1,0.005193639,0.000588292,0.0125,0.0125
743,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
747,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
769,0.0125,0,0,0,1,0,0.204411388,0.325892857,0.0125,0.0125
777,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
793,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
794,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
839,0.0125,0,0,0,1,0,0.312387792,0.325892857,0.0125,0.0125
885,0.0125,0,0,0,0,1,0.000256476,0.000128238,0.0125,0.0125
969,0.05,0.0375,0,0,0,1,0.000256476,0.000153886,0.05,0.05
977,0.075,0.075,0,0,0,1,0.000256476,0.000256476,0.0875,0.0875
986,0.0125,0,0,0,0,1,0.000256476,0.000128238,0.0125,0.0125
997,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
1003,0.125,0.125,0,0,0,1,0.000256476,0.000256476,0.1375,0.1375
1007,0.0625,0.05,0,0,0,1,0.000256476,0.000256476,0.0625,0.0625
1099,0.05,0.0375,0,0,0,1,0.000256476,0.000256476,0.05,0.05
1108,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
1114,0.0375,0.05,0,0,0.333333333,0.666666667,0.063178593,0.000256476,0.0625,0.0625
1132,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1161,0.05,0.1125,0,0,0,1,0.000256476,0.000256476,0.125,0.125
1169,0.0125,0,0,0,0,1,0.000256476,0.000128238,0.0125,0.0125
1288,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1316,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1324,0.05,0.075,0,0,0,1,0.000256476,0.000152283,0.0875,0.0875
1352,0.0125,0,0,0,0,1,0.000256476,0.000128238,0.0125,0.0125
1378,0.0375,0.025,0,0,0,1,0.000256476,0.000256476,0.0375,0.0375
1402,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1446,0.0125,0,0,0,1,0,0.227878943,0.325892857,0.0125,0.0125
1474,0.025,0.025,0,0,1,0,0.322262118,0.325892857,0.0375,0.0375
1485,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
1504,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1563,0.0125,0,0,0,0,1,0.000256476,0.00015068,0.0125,0.0125
1616,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1621,0.05,0.05,0,0,1,0,0.167671198,0.325892857,0.0625,0.0625
1655,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1686,0.0375,0.025,0,0,0,1,0.000256476,0.000256476,0.0375,0.0375
1695,0.0375,0.025,0,0,0,1,0.000256476,0.000256476,0.0375,0.0375
1760,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
1785,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1788,0.0125,0,0,0,0,1,0.000256476,0.000128238,0.0125,0.0125
1789,0.0125,0,0,0,0,1,0.000256476,0.0001619,0.0125,0.0125
1905,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1968,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
1971,0.0125,0,0,0,0,1,0.000256476,0.000256476,0.0125,0.0125
1980,0.05,0.05,0.5,0.25,0,1,0.271447807,0.173873108,0.03125,0.05
1981,0.025,0.0375,0,0,1,0,0.31508079,0.325892857,0.05,0.05
1987,0.0375,0.025,0,0,0,1,0.000256476,0.000256476,0.0375,0.0375
1996,0.125,0.125,0,0,0,1,0.000256476,0.000256476,0.1375,0.1375
2139,0.0375,0.025,0,0,0,1,0.000256476,0.000179533,0.0375,0.0375
2145,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
2150,0.025,0.0125,0,0,0,1,0.000256476,0.000256476,0.025,0.025
2176,0.0375,0.025,0,0,0,1,0.000256476,0.000256476,0.0375,0.0375
2273,0.0375,0.025,0,0,0,1,0.000256476,0.000197166,0.0375,0.0375
